symbol,company_name,sector_33,market_category,scale_category,is_financial,low_liquidity_candidate,include_for_collection,priority_score
3252,地主,不動産業,プライム（内国株式）,TOPIX Small 2,0,1,1,13252
3276,ＪＰＭＣ,不動産業,プライム（内国株式）,TOPIX Small 2,0,1,1,13276
3284,フージャースホールディングス,不動産業,プライム（内国株式）,TOPIX Small 2,0,1,1,13284
3288,オープンハウスグループ,不動産業,プライム（内国株式）,TOPIX Mid400,0,0,1,13288
3289,東急不動産ホールディングス,不動産業,プライム（内国株式）,TOPIX Mid400,0,0,1,13289
3291,飯田グループホールディングス,不動産業,プライム（内国株式）,TOPIX Mid400,0,0,1,13291
3302,帝国繊維,繊維製品,プライム（内国株式）,TOPIX Small 2,0,1,1,13302
3315,日本コークス工業,石油・石炭製品,プライム（内国株式）,TOPIX Small 2,0,1,1,13315
3333,あさひ,小売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13333
3349,コスモス薬品,小売業,プライム（内国株式）,TOPIX Mid400,0,0,1,13349
3360,シップヘルスケアホールディングス,卸売業,プライム（内国株式）,TOPIX Mid400,0,0,1,13360
3371,ソフトクリエイトホールディングス,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13371
3382,セブン＆アイ・ホールディングス,小売業,プライム（内国株式）,TOPIX Core30,0,0,1,13382
3387,クリエイト・レストランツ・ホールディングス,小売業,プライム（内国株式）,TOPIX Small 1,0,1,1,13387
3388,明治電機工業,卸売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13388
3391,ツルハホールディングス,小売業,プライム（内国株式）,TOPIX Mid400,0,0,1,13391
3393,スターティアホールディングス,卸売業,プライム（内国株式）,-,0,0,1,13393
3395,サンマルクホールディングス,小売業,プライム（内国株式）,TOPIX Small 1,0,1,1,13395
3397,トリドールホールディングス,小売業,プライム（内国株式）,TOPIX Mid400,0,0,1,13397
3401,帝人,繊維製品,プライム（内国株式）,TOPIX Mid400,0,0,1,13401
3402,東レ,繊維製品,プライム（内国株式）,TOPIX Mid400,0,0,1,13402
3405,クラレ,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,13405
3407,旭化成,化学,プライム（内国株式）,TOPIX Large70,0,0,1,13407
3415,ＴＯＫＹＯ　ＢＡＳＥ,小売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13415
3431,宮地エンジニアリンググループ,金属製品,プライム（内国株式）,TOPIX Small 1,0,1,1,13431
